PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,STATUS,MODEL,MODEL_DETAIL,BASIN,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062392780,4902712,10883
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062397800,4902713,10884
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062390760,4902714,10885
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062399780,4902715,10886
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062392800,4902716,10887
Argo Canada,Blair Greenan,BIO,"NEED TELECOMMS, AWAITING RMA",APEX,APEX_RBR,,,,,,,300125062393760,4902717,10888
Argo Canada,Blair Greenan,BIO,CONFIRMED,APEX,APEX_RBR,SOU,2027-02-01,-76.5,-159.0,,,300125062494580,4902718,10889
Argo Canada,Blair Greenan,IOS,AWAITING RMA,ARVOR,ARVOR_RBR,,,,,,,300534063792880,4902672,AI3500-23CA003
Argo Canada,Blair Greenan,IOS,AWAITING RMA,ARVOR,ARVOR_RBR,,,,,,,300534063895260,4902673,AI3500-23CA004
Argo Canada,Blair Greenan,IOS,AVAILABLE,PROVOR,PROVOR_CTS4+SUNA,,,,,,,300125010800840,4902682,P44168-23CA004
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-05-28T19:22:34,58.2083,-50.9040,AR7W_18,JAMES COOK,300125063319510,4902726,P5389A-25CA001
Argo Dalhousie,Katja Fennel,Dal,OPERATIONAL,PROVOR,PROVOR_CTS5,ATL,2026-07-11T10:30:00,55.73533,-39.04283,,LOUIS S. ST. LAURENT,300125063310200,4902728,P5389A-25CA003
